x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,label
3,0,13,2785,3623,89,40,0,3008,3008,0,0,60298,3243,13124,0,0,0,0
9,0,9,2684,3730,46,27,0,2562,2562,0,0,57289,3200,7236,0,0,0,0
300,17,727,3492,4094,1321,613,52,3026,3026,7.8095,-0.8658,60427,3211,11531,571,154,35,0
466,115,130,2810,4777,931,3218,1128,1675,1673,5.7207,-3.3278,48591,4356,21322,1008,367,174,0
325,87,147,5369,4861,766,1740,654,2434,2431,11.0997,-2.9119,56243,5263,14883,1123,358,117,0
2,0,3,5106,5293,45,48,2,994,994,0,0,39326,3213,1212,8868,301,2,0
16,1,20,4670,5455,40,28,2,2943,2943,0,0,59851,3200,18333,0,0,0,0
213,45,123,4580,5480,239,470,176,1377,1370,18.0197,-0.4711,44732,1199,6866,1016,283,147,0
293,4,230,6060,5513,716,918,15,2730,2730,1.7894,-0.6252,58272,3210,7262,0,0,0,0
203,13,70,8497,5542,506,1442,83,1002,1002,1.9132,-0.7727,39497,3134,11464,1901,683,30,0
4,0,13,4060,5584,19,7,0,2921,2921,0,0,59750,3200,16978,0,0,0,0
3316,346,573,8763,6244,2163,14552,1597,2526,2533,14.1507,-5.1816,56903,3490,17378,2052,803,272,0
4,0,44,4389,6310,202,25,0,3067,3067,0,0,60575,3200,6879,0,0,0,0
22459,526,95000,23329,6314,87281,43647,1645,1596,1490,86.3719,-6.7384,46229,3159,13691,213,60,25,0
5,0,7,4873,6488,447,332,13,1039,1039,0,0,40274,3231,335,0,0,0,0
204,33,163,7399,6596,2586,2758,119,1117,1109,13.6765,-0.2702,41454,3857,7324,6477,662,14,0
15,0,11,5524,6968,48,122,0,1606,1606,0,0,47503,3210,20499,5828,2099,316,0
0,0,0,6532,7418,31,106,0,107,107,0,0,15167,2659,6754,0,0,0,0
8,0,7,13155,8414,51,58,2,908,908,0,0,37870,3249,9652,1136,5,5,0
8,1,3,6980,8836,81,71,11,601,601,0.3983,0,30685,3226,16443,97,23,13,0
135,19,39,35013,15391,1549,5613,366,250,250,0,0,19397,2588,8291,118,32,8,0
27,1,152,15130,19862,1633,221,3,1265,1265,0,0,43442,3177,2769,0,0,0,0
12,0,13,14354,19963,39,59,0,1601,1601,0,0,47441,3214,7925,0,0,0,0
315,13,340,30471,19984,1983,1710,75,1070,1069,5.4027,-0.3491,40803,3235,4027,0,0,0,0
13,0,3,15545,20637,30,19,0,1230,1230,0,0,43059,3196,191,0,0,0,0
7,0,1,20566,22719,109,361,11,199,199,0,0,17847,3226,2936,844,241,3,0
42,1,53,20803,24870,3404,1793,49,255,255,0.3263,-0.4544,19551,3234,3751,141,42,25,0
4926,276,1264,104356,27591,8851,28395,1832,793,754,46.3158,-13.9076,34568,3127,10472,146,62,40,0
117,0,277,27562,31520,3881,1304,27,594,594,0,-0.2951,30489,3208,11038,5,2,1,0
24,1,80,26736,32530,1478,126,4,2547,2547,0,0,57241,3234,11949,2790,995,4,0
244,0,298,25715,33357,736,448,1,2349,2349,0,0,55327,3204,1863,6,2,1,0
15,3,58,34017,38051,607,217,85,729,729,0.9423,0,34068,3186,13501,247,87,8,0
357,369,478,38409,39984,848,624,557,2984,2984,5.8135,-3.4953,60090,3203,2943,143,45,31,0
7,1,10,35332,41347,340,246,18,523,523,0.892,0,28319,3240,8905,0,0,0,0
82,6,65,47497,47324,172,244,11,3215,3215,0,0,61195,3198,13205,6321,2281,46,0
2256,36,2236,67347,56972,21808,22052,375,690,684,15.4144,-1.6821,32848,3250,7046,148,25,1,0
83,1,121,44527,58626,254,159,1,2008,2008,0,0,52020,3200,21808,210,71,14,0
54,8,97,55261,64802,1848,938,103,747,747,3.8849,-0.4392,34435,3214,9141,6,2,2,0
20,0,3,110624,132705,122,785,21,213,213,0,0,18302,3170,16719,36,5,5,0
432,22,487,6369,1986,1194,1870,171,2944,2945,4.8681,-3.811,59858,3228,15351,4023,1672,793,0
33,1,6,2261,2295,121,562,80,739,740,0.6133,-0.0184,34257,2791,11678,3227,978,103,0
9,0,19,1898,2364,41,22,0,1414,1414,0,0,45273,2592,10939,7,2,2,0
344,2,228,2431,2605,527,735,21,3707,3707,0.3535,0,63730,3034,5519,626,244,9,0
473,39,174,3289,2643,570,1688,150,2673,2673,0.0989,-0.1593,57840,3289,21029,981,352,216,0
436,60,99,2967,2959,472,2183,313,1140,1124,9.2824,-1.6824,41658,1790,9561,651,229,123,0
309,173,120,4731,3049,380,1367,449,1263,1270,16.5036,-11.3352,43508,1724,7747,335,104,67,0
9,0,22,2686,3752,60,11,0,2475,2475,0,0,56482,3200,398,1,1,1,0
116,9,22,3198,3948,111,560,59,863,863,1.5142,-0.1019,37014,1992,7587,308,109,38,0
